Order_ID,Customer_ID,Order_Date,Product,Category,Sales,Quantity,Discount,Profit,City
ORD1,CUST425,23-09-2023,Tablet,Electronics,8553.08,3,0.01,10148.49,Mumbai
ORD2,CUST554,21-07-2023,Camera,Accessories,38967.65,2,0.09,4701.98,Bangalore
ORD3,CUST610,01-06-2023,Headphones,Fashion,45521.73,4,0.44,4420.47,Chennai
ORD4,CUST1985,10-08-2023,Laptop,Accessories,16086.39,3,0.21,563.99,Bangalore
ORD5,CUST1567,20-03-2023,Camera,Electronics,39769.9,1,0.34,2.26,Mumbai
ORD6,CUST1182,19-07-2023,Watch,Electronics,5051.3,1,0.24,8436.26,Delhi
ORD7,CUST112,07-09-2023,Camera,Fashion,12711.87,1,0.24,9277.7,Chennai
ORD8,CUST402,09-04-2023,Headphones,Fashion,23362.57,3,0.32,14234.38,Mumbai
ORD9,CUST1783,01-08-2023,Bag,Electronics,19627.15,1,0.22,12991.02,Kolkata
ORD10,CUST122,23-05-2023,Tablet,Fashion,31171.48,4,0.01,6712.74,Delhi
ORD11,CUST273,09-07-2023,Shoes,Electronics,28367.76,2,0.4,7222.37,Chennai
ORD12,CUST1318,28-10-2023,Bag,Accessories,4819.96,1,0.14,2829.22,Chennai
ORD13,CUST398,21-02-2023,Tablet,Fashion,7018.87,1,0.34,14462.26,Kolkata
ORD14,CUST471,22-04-2023,Laptop,Accessories,3059.73,3,0.33,13335.46,Bangalore
ORD15,CUST985,15-05-2023,Watch,Fashion,47654.03,2,0.07,-4153.77,Mumbai
ORD16,CUST1231,22-04-2023,Watch,Accessories,32444.54,2,0.08,2442.39,Mumbai
ORD17,CUST1134,13-01-2023,Headphones,Electronics,42851.43,4,0.22,3021.97,Mumbai
ORD18,CUST1464,30-09-2023,Camera,Electronics,27292.56,1,0.17,384.11,Chennai
ORD19,CUST1302,21-08-2023,Phone,Electronics,10094.99,4,0.14,3815.07,Kolkata
ORD20,CUST1987,13-02-2023,Shoes,Electronics,31516.74,2,0.15,4015.11,Chennai
ORD21,CUST1592,14-03-2023,Tablet,Fashion,25514.28,1,0.13,10538.11,Chennai
ORD22,CUST1911,18-09-2023,Camera,Accessories,20705.52,2,0.06,13206.05,Kolkata
ORD23,CUST1939,19-08-2023,Bag,Fashion,18904.36,4,0.04,5555.13,Delhi
ORD24,CUST569,02-02-2023,Tablet,Fashion,32678.79,4,0.44,141.89,Delhi
ORD25,CUST1964,09-03-2023,Tablet,Electronics,31079.2,3,0.41,5717.05,Kolkata
ORD26,CUST1506,16-01-2023,Shoes,Fashion,8002.51,4,0.25,-1441.38,Delhi
ORD27,CUST1827,30-05-2023,Laptop,Accessories,40902.99,1,0.16,2022.13,Bangalore
ORD28,CUST1138,19-10-2023,Camera,Fashion,31986.52,1,0.34,5701.36,Mumbai
ORD29,CUST1917,12-04-2023,Phone,Accessories,27022.52,4,0.05,14034.86,Delhi
ORD30,CUST897,05-07-2023,Bag,Electronics,37571.42,2,0.05,4377.99,Mumbai
ORD31,CUST820,25-01-2023,Laptop,Electronics,8106.49,1,0.07,-4796.35,Kolkata
ORD32,CUST853,13-03-2023,Shoes,Fashion,46025.95,3,0.35,-2797.01,Kolkata
ORD33,CUST1501,22-03-2023,Phone,Accessories,13894.07,1,0.41,2975.71,Bangalore
ORD34,CUST710,02-03-2023,Bag,Electronics,13506.49,3,0.27,-1620.34,Mumbai
ORD35,CUST1957,18-01-2023,Shoes,Electronics,40837.68,1,0.08,1464.68,Delhi
ORD36,CUST321,30-08-2023,Bag,Fashion,17032.56,4,0.17,12422.94,Bangalore
ORD37,CUST179,27-02-2023,Tablet,Accessories,41620.06,4,0.41,8769,Delhi
ORD38,CUST897,28-11-2023,Phone,Electronics,16736.49,2,0.26,7718.83,Mumbai
ORD39,CUST219,26-02-2023,Phone,Electronics,27759.06,4,0.23,2864.71,Delhi
ORD40,CUST789,07-04-2023,Shoes,Accessories,11926.82,3,0.33,10426.16,Bangalore
ORD41,CUST1973,03-08-2023,Camera,Fashion,36710.26,4,0.18,14969.23,Delhi
ORD42,CUST1552,15-11-2023,Bag,Fashion,8763.58,2,0,1663.76,Delhi
ORD43,CUST492,12-01-2023,Watch,Electronics,45021.86,1,0.47,8356.3,Chennai
ORD44,CUST1915,11-01-2023,Laptop,Electronics,18896.62,1,0.36,-961.88,Chennai
ORD45,CUST61,12-06-2023,Phone,Fashion,23842.94,1,0.48,-3029.95,Mumbai
ORD46,CUST1078,10-10-2023,Bag,Fashion,1689.08,2,0.43,14423.85,Bangalore
ORD47,CUST1704,05-08-2023,Shoes,Electronics,48801.6,4,0.19,-924.49,Chennai
ORD48,CUST538,26-12-2023,Tablet,Accessories,40752.18,2,0.19,-2946.31,Chennai
ORD49,CUST848,19-11-2023,Shoes,Accessories,22626.94,4,0.07,4656.87,Kolkata
ORD50,CUST988,29-08-2023,Camera,Electronics,46052.94,1,0.4,8928.5,Kolkata
ORD51,CUST65,11-12-2023,Phone,Electronics,46587.45,1,0.31,-4991.84,Bangalore
ORD52,CUST1636,14-02-2023,Headphones,Electronics,26886.08,4,0.13,2985.94,Delhi
ORD53,CUST586,22-03-2023,Phone,Electronics,12075.61,3,0.48,4389.03,Chennai
ORD54,CUST1728,12-09-2023,Tablet,Fashion,24611.96,1,0.38,4863.98,Chennai
ORD55,CUST171,08-03-2023,Headphones,Accessories,16577.53,3,0.44,3029.91,Mumbai
ORD56,CUST1297,12-04-2023,Camera,Accessories,22675.29,2,0.09,-1938.21,Kolkata
ORD57,CUST1913,01-04-2023,Camera,Accessories,45613.91,4,0.3,9253.9,Bangalore
ORD58,CUST1723,11-02-2023,Watch,Fashion,14450.81,1,0.5,7749.37,Kolkata
ORD59,CUST535,03-10-2023,Shoes,Electronics,42028.86,2,0.17,-4339.9,Mumbai
ORD60,CUST1415,31-10-2023,Bag,Accessories,46797.4,1,0.2,7056.7,Chennai
ORD61,CUST1964,01-10-2023,Headphones,Accessories,40350.11,3,0.27,10055.58,Delhi
ORD62,CUST693,18-03-2023,Camera,Fashion,26599.04,3,0.02,-2480,Kolkata
ORD63,CUST1351,22-08-2023,Laptop,Electronics,28416.88,1,0.11,10254.08,Chennai
ORD64,CUST108,21-07-2023,Laptop,Electronics,41071.93,4,0.16,197.2,Delhi
ORD65,CUST1871,09-08-2023,Watch,Electronics,2702.79,3,0,8554.53,Kolkata
ORD66,CUST1186,19-09-2023,Camera,Accessories,36928.53,1,0.16,8383.34,Chennai
ORD67,CUST814,08-02-2023,Headphones,Fashion,26678.94,2,0.27,6313.83,Delhi
ORD68,CUST1005,11-01-2023,Headphones,Accessories,20158.3,2,0.01,-545.23,Chennai
ORD69,CUST452,22-04-2023,Bag,Fashion,38462.92,3,0.27,482.06,Mumbai
ORD70,CUST1230,18-04-2023,Laptop,Fashion,13679.24,2,0.4,4457.25,Bangalore
ORD71,CUST590,04-04-2023,Laptop,Accessories,44828.92,3,0.07,-4469.78,Bangalore
ORD72,CUST1040,07-11-2023,Tablet,Fashion,34580.15,4,0.48,3331.37,Mumbai
ORD73,CUST327,25-03-2023,Bag,Fashion,30702.7,1,0.21,8868.79,Chennai
ORD74,CUST608,27-02-2023,Tablet,Fashion,26394.45,4,0.22,-4953.84,Kolkata
ORD75,CUST659,20-10-2023,Headphones,Electronics,11031.5,3,0.26,9778.2,Chennai
ORD76,CUST2,16-01-2023,Bag,Electronics,31038.78,3,0.2,3620.71,Kolkata
ORD77,CUST1034,22-11-2023,Phone,Electronics,36383.24,1,0.33,4737.88,Delhi
ORD78,CUST434,03-04-2023,Laptop,Electronics,1078.64,2,0.09,-559.67,Bangalore
ORD79,CUST125,14-06-2023,Headphones,Accessories,18637.75,2,0.46,3281.31,Kolkata
ORD80,CUST1105,03-08-2023,Laptop,Accessories,41706.97,2,0.43,5118.58,Mumbai
ORD81,CUST485,24-05-2023,Tablet,Accessories,31794.43,3,0.32,14575.56,Bangalore
ORD82,CUST652,01-10-2023,Watch,Electronics,30955.89,1,0.39,7389.93,Delhi
ORD83,CUST1862,18-05-2023,Phone,Accessories,11816.33,2,0.35,7610.92,Kolkata
ORD84,CUST1174,23-07-2023,Phone,Electronics,31788.39,3,0.24,14939.2,Mumbai
ORD85,CUST800,29-10-2023,Camera,Electronics,39414.43,3,0.08,-4279.52,Delhi
ORD86,CUST873,29-07-2023,Laptop,Fashion,20386.94,3,0.16,12425.33,Chennai
ORD87,CUST1364,19-01-2023,Shoes,Fashion,9513.56,1,0.44,10819.08,Bangalore
ORD88,CUST129,21-10-2023,Shoes,Electronics,4325.08,4,0.33,-4056.47,Bangalore
ORD89,CUST438,20-10-2023,Tablet,Fashion,25531.94,1,0.43,3841.9,Bangalore
ORD90,CUST751,28-10-2023,Bag,Fashion,34351,3,0.44,5346.3,Mumbai
ORD91,CUST501,11-06-2023,Phone,Fashion,8550.64,4,0.26,-4343.52,Delhi
ORD92,CUST1082,10-05-2023,Laptop,Fashion,21361.46,2,0.22,3960.72,Mumbai
ORD93,CUST1222,13-02-2023,Tablet,Accessories,28647.84,3,0.21,12606.71,Bangalore
ORD94,CUST211,19-12-2023,Camera,Fashion,8214.99,2,0.22,-4432.75,Chennai
ORD95,CUST1938,24-03-2023,Tablet,Electronics,13859.55,3,0.47,11562.04,Mumbai
ORD96,CUST902,04-05-2023,Headphones,Fashion,30616.46,1,0.08,11770.95,Kolkata
ORD97,CUST45,27-01-2023,Laptop,Fashion,36388.69,2,0.08,-4944.1,Kolkata
ORD98,CUST1121,31-10-2023,Laptop,Accessories,31981.67,1,0.19,13180.86,Bangalore
ORD99,CUST1303,16-12-2023,Tablet,Accessories,35824.89,4,0.4,9309.62,Bangalore
ORD100,CUST535,07-01-2023,Headphones,Accessories,29284.47,1,0.43,13799.57,Mumbai
ORD101,CUST1434,07-12-2023,Headphones,Fashion,41873.73,1,0.41,13582.58,Chennai
ORD102,CUST461,18-07-2023,Watch,Electronics,41423.43,1,0.29,-34,Bangalore
ORD103,CUST391,22-04-2023,Shoes,Accessories,39914.25,2,0.43,5352.36,Mumbai
ORD104,CUST1871,30-03-2023,Watch,Fashion,28985.18,1,0.1,4786.41,Delhi
ORD105,CUST1068,08-05-2023,Laptop,Fashion,49709.44,2,0.3,9182.59,Delhi
ORD106,CUST27,18-08-2023,Laptop,Fashion,2436.04,3,0.16,6637.62,Delhi
ORD107,CUST794,18-01-2023,Phone,Accessories,10184.83,3,0.14,14279.85,Chennai
ORD108,CUST1121,16-10-2023,Camera,Fashion,40539.43,4,0.05,5092.52,Chennai
ORD109,CUST975,10-06-2023,Phone,Accessories,41401.48,3,0.18,2471.88,Mumbai
ORD110,CUST548,18-12-2023,Shoes,Fashion,41028.26,3,0.02,14841.95,Delhi
ORD111,CUST621,08-10-2023,Headphones,Electronics,43699.34,4,0.18,6876.37,Bangalore
ORD112,CUST567,15-06-2023,Bag,Electronics,21419.09,3,0.24,3188.35,Bangalore
ORD113,CUST704,17-09-2023,Laptop,Fashion,46625.76,4,0.18,2075.61,Chennai
ORD114,CUST1243,30-12-2023,Phone,Accessories,10853.94,1,0.39,9152.25,Delhi
ORD115,CUST185,09-07-2023,Shoes,Fashion,46878.95,3,0.14,12783.97,Kolkata
ORD116,CUST1093,04-12-2023,Watch,Electronics,28055.59,1,0.04,-1462.52,Bangalore
ORD117,CUST1853,23-09-2023,Laptop,Fashion,8612.26,1,0.1,2451.21,Kolkata
ORD118,CUST1154,18-10-2023,Bag,Accessories,36935.82,2,0.41,-3688.78,Kolkata
ORD119,CUST1591,21-12-2023,Shoes,Accessories,15146.02,1,0.32,483.07,Bangalore
ORD120,CUST1914,26-12-2023,Headphones,Accessories,11412.65,4,0.29,13350.68,Chennai
ORD121,CUST1633,06-10-2023,Bag,Accessories,9017.73,2,0.27,7901.41,Delhi
ORD122,CUST848,05-08-2023,Laptop,Electronics,1955.56,1,0.37,13241.61,Delhi
ORD123,CUST599,17-11-2023,Shoes,Accessories,38350.37,3,0.1,6144.6,Chennai
ORD124,CUST806,04-12-2023,Headphones,Accessories,24581.96,1,0.1,14743.31,Chennai
ORD125,CUST1655,26-07-2023,Tablet,Electronics,48947.24,1,0.07,7713.13,Chennai
ORD126,CUST1744,02-06-2023,Tablet,Accessories,22243.94,1,0.17,9422.78,Mumbai
ORD127,CUST1358,30-06-2023,Phone,Electronics,42245.85,1,0.14,12263.37,Delhi
ORD128,CUST1949,31-07-2023,Bag,Accessories,48420.68,3,0.46,2091.85,Bangalore
ORD129,CUST1178,30-09-2023,Watch,Accessories,1611.87,2,0.01,926.06,Chennai
